dataset,subject,stim,condition,critical_word,meanAmp,meanAmp_z
ryskin_2021,ryskin_s1,Clownfish have evolved invulnerability to the poison tentacles of anemone.,Synt,anemone,0.6055362499999999,-0.12340209002133384
ryskin_2021,ryskin_s1,"Considering my previous experiences, I had a rather low expectation.",Control,expectation,0.95585,-0.08162121884632464
ryskin_2021,ryskin_s1,"Despite technological advances, wars cannot be won without an infantry.",Control,infantry,3.6293800000000003,0.23724269246895296
ryskin_2021,ryskin_s1,"Disgusted, she pulled away from his touch with a shutter.",SemCrit,shutter,-2.813903625,-0.5312284368548924
ryskin_2021,ryskin_s1,"Each winter evening, the family gathers around a warm hearths.",Synt,hearths,-6.8020125,-1.0068782311843636
ryskin_2021,ryskin_s1,Edith Piaf's extraordinary singing career was begun in a carburetor.,SemCrit,carburetor,-5.396225,-0.8392141687918991
ryskin_2021,ryskin_s1,Feudal lords lived off the labor of an oppressed peasantries.,Synt,peasantries,4.128325,0.29675036742722954
ryskin_2021,ryskin_s1,"For lunch, she had brought tomato soup in a thermal.",SemCrit,thermal,-1.3118310000000002,-0.3520807361419376
ryskin_2021,ryskin_s1,Handling the rough wooden plank gave the woman a nobility.,Sem,nobility,-9.414675,-1.318482658176674
ryskin_2021,ryskin_s1,Harvesting crops is often the job of a seasonal massage.,Sem,massage,4.458875,0.3361740753658968
ryskin_2021,ryskin_s1,He denounced the novel's film adaptation as a complete travesties.,Synt,travesties,-5.64730625,-0.8691598770625858
ryskin_2021,ryskin_s1,He had a short attention span and needed constant stimulation.,Control,stimulation,1.2112299999999998,-0.051162811545230016
ryskin_2021,ryskin_s1,"He idolized her, and her self-esteem benefited from this adorations.",Synt,adorations,-3.92749375,-0.6640429939608792
ryskin_2021,ryskin_s1,"He soon backed away, sensing he had crossed a boundary.",Control,boundary,2.879775,0.14783955046512703
ryskin_2021,ryskin_s1,Her grandmother's pennies inspired her to start a coin parasol.,Sem,parasol,6.9354125,0.631543281534879
ryskin_2021,ryskin_s1,His office is down at the end of this corridor.,Control,corridor,-5.6719875,-0.8721035357876236
ryskin_2021,ryskin_s1,His personality was dramatically altered after acquiring this brain leisure.,SemCrit,leisure,4.80443875,0.3773884282752618
ryskin_2021,ryskin_s1,I blacked out and was confused when I regained duration.,Sem,duration,6.155075,0.5384747663523356
ryskin_2021,ryskin_s1,I control my fate; I don't have a predetermined embargo.,Sem,embargo,2.7552975,0.13299349206266012
ryskin_2021,ryskin_s1,"In the nineties, the Rugrats was a very popular carton.",SemCrit,carton,6.428175,0.5710465849517912
ryskin_2021,ryskin_s1,"Incensed at the captain, the crew staged a full-scale mutinies.",Synt,mutinies,9.701825,0.9614850102835653
ryskin_2021,ryskin_s1,"Intestinal problems may indicate a tapeworm, a type of parasites.",Synt,parasites,3.0776624999999997,0.17144099957936998
ryskin_2021,ryskin_s1,"Like the IRS and FBI, CIA is another three-letter mobility.",Sem,mobility,-2.27486,-0.46693831905667593
ryskin_2021,ryskin_s1,Marie Curie died of exposure to radiation from this veterinarian.,Sem,veterinarian,5.4352275,0.45262071219901606
ryskin_2021,ryskin_s1,Mediators prevented the dispute from escalating into a violent altercation.,Control,altercation,1.42842975,-0.025258048246632078
ryskin_2021,ryskin_s1,Medics cleaned and bandaged the wound to prevent an infection.,Control,infection,5.469625,0.45672319894480434
ryskin_2021,ryskin_s1,My back was so tense I really needed a massage.,Control,massage,3.4620625,0.21728723564539235
ryskin_2021,ryskin_s1,No light escapes the black hole once within this radii.,Synt,radii,4.7229125,0.3676650367480049
ryskin_2021,ryskin_s1,Old car engines mixed fuel and air in a carburetors.,Synt,carburetors,0.10349425,-0.18327913488881037
ryskin_2021,ryskin_s1,On the mountaintop we felt dizzy because of this altitude.,Control,altitude,16.829,1.8115218144819336
ryskin_2021,ryskin_s1,"Once Faust signed, he was doomed to this eternal damnations.",Synt,damnations,3.8114225,0.25895435591601035
ryskin_2021,ryskin_s1,One window on the dilapidated house was missing a migrant.,Sem,migrant,-0.44949137499999997,-0.24923207324694485
ryskin_2021,ryskin_s1,Pikemen can be an effective defense against a charging cavity.,SemCrit,cavity,-1.53119625,-0.37824377213616756
ryskin_2021,ryskin_s1,Political corruption and economic hardship fueled a growing anti-government dalmatian.,Sem,dalmatian,-2.5318625000000003,-0.49759023707061434
ryskin_2021,ryskin_s1,"Rather than reducing violence, the intervention just caused an escalator.",SemCrit,escalator,6.3953999999999995,0.5671376089188465
ryskin_2021,ryskin_s1,Romeo longingly admired Juliet as she stood on this balcony.,Control,balcony,1.9022537499999999,0.031253520321908396
ryskin_2021,ryskin_s1,Rupert Murdoch is the owner of a vast media empires.,Synt,empires,0.20728249999999993,-0.17090062133423353
ryskin_2021,ryskin_s1,Senator McCarthy accused the screenwriter of being a Communist sympathizers.,Synt,sympathizers,2.141831625,0.059827255528583735
ryskin_2021,ryskin_s1,She danced with an elegant masked gentleman at that mascara.,SemCrit,mascara,3.21081555,0.1873217648322599
ryskin_2021,ryskin_s1,"She didn't answer the phone, so I left a massage.",SemCrit,massage,6.364675,0.5634731302426537
ryskin_2021,ryskin_s1,"She lunged towards his neck, going right for the nymph.",Sem,nymph,-9.181525,-1.290675556358794
ryskin_2021,ryskin_s1,She saved him from the poison by administering a matinee.,Sem,matinee,1.011075,-0.07503469858944098
ryskin_2021,ryskin_s1,She scolded the child for running backwards up an escalation.,SemCrit,escalation,2.320506875,0.0811373171588011
ryskin_2021,ryskin_s1,She was vaccinated so her body would developed an immunities.,Synt,immunities,0.019506249999999947,-0.1932961319614251
ryskin_2021,ryskin_s1,Soda cans and tin foil are both made of exertion.,Sem,exertion,1.69618125,0.006675870785708131
ryskin_2021,ryskin_s1,Some controversial stem cell research requires a fertilized human migraine.,Sem,migraine,-8.0675,-1.15780913301475
ryskin_2021,ryskin_s1,Someone who has fought in a war is a veterans.,Synt,veterans,0.72232,-0.10947364212545627
ryskin_2021,ryskin_s1,Statisticians emphasize that causation is not implied by a hypotenuse.,Sem,hypotenuse,-1.5837125,-0.38450722789787994
ryskin_2021,ryskin_s1,That grenade explodes stronger than a stick of this dynamites.,Synt,dynamites,-1.43236875,-0.3664569123681789
ryskin_2021,ryskin_s1,The Big Dipper may perhaps be the most famous constellation.,Control,constellation,0.05255712499999987,-0.18935425314394694
ryskin_2021,ryskin_s1,The Caribbean cruise package includes this kayaking and snorkeling exertion.,SemCrit,exertion,3.0986000000000002,0.17393815246082772
ryskin_2021,ryskin_s1,The Christmas tree was decorated with many shining glass infantry.,Sem,infantry,4.050198375,0.2874324389860443
ryskin_2021,ryskin_s1,The United States has a large stockpile of nuclear ornaments.,SemCrit,ornaments,-6.1425625,-0.9282276058624636
ryskin_2021,ryskin_s1,The afternoon showing cost less because it was a matinees.,Synt,matinees,5.4574625,0.4552726140172471
ryskin_2021,ryskin_s1,The ambassador who negotiated the deal was a skilled diplomats.,Synt,diplomats,3.26816625,0.19416181095804458
ryskin_2021,ryskin_s1,The artist achieved eternal fame despite not seeking this immortalities.,Synt,immortalities,6.6239,0.5943901191714118
ryskin_2021,ryskin_s1,The baseball player felt cheated and swore at a coronation.,Sem,coronation,-1.03674435,-0.319271975750389
ryskin_2021,ryskin_s1,The casket was carried to the cemetery in a hearse.,Control,hearse,0.13579124999999997,-0.17942716848344012
ryskin_2021,ryskin_s1,The castle wall was adorned with a beautiful woven tapestries.,Synt,tapestries,6.6568875,0.5983244394425563
ryskin_2021,ryskin_s1,The cause of death must be determined by a coroners.,Synt,coroners,10.7976,1.092174810817503
ryskin_2021,ryskin_s1,The celebrating couple joyfully popped open a bottle of campaign.,SemCrit,campaign,1.05320375,-0.07001012882443983
ryskin_2021,ryskin_s1,The cheapest lunchmeat at this grocery store is this balcony.,SemCrit,balcony,2.60155625,0.11465723389256288
ryskin_2021,ryskin_s1,The child made a caterpillar from an old egg cartons.,Synt,cartons,9.180525,0.8993111214666625
ryskin_2021,ryskin_s1,The child wore a glittery crown with a pink captain.,Sem,captain,7.54468125,0.7042089395477572
ryskin_2021,ryskin_s1,"The circus featured an acrobat, a clown, and a cavity.",Sem,cavity,-6.049087500000001,-0.9170791227296035
ryskin_2021,ryskin_s1,The coach scolded the player for having a bad attitude.,Control,attitude,7.359361249999999,0.6821063784974052
ryskin_2021,ryskin_s1,The college sent out a newsletter to all its alumnus.,Synt,alumnus,-5.2963125,-0.827297904325337
ryskin_2021,ryskin_s1,The computer could read text aloud using a speech synthesizer.,Control,synthesizer,4.03545,0.28567344449634546
ryskin_2021,ryskin_s1,The congregation listens to a sermon delivered by a pastor.,Control,pastor,1.9520225,0.03718928999207191
ryskin_2021,ryskin_s1,"The contraction for ""it is"" needs to include an apostrophe.",Control,apostrophe,4.05821375,0.288388408742568
ryskin_2021,ryskin_s1,The crowded urban neighborhood had a very high population destiny.,SemCrit,destiny,-2.2839625,-0.468023946954155
ryskin_2021,ryskin_s1,The dentist congratulated me on not having a single cavalry.,SemCrit,cavalry,2.5180125,0.10469322118616138
ryskin_2021,ryskin_s1,The detectives discovered the professor was poisoned with this carriage.,Sem,carriage,-6.788025,-1.005209983975796
ryskin_2021,ryskin_s1,The devout Christian girl travelled to India as a mercenary.,SemCrit,mercenary,8.985675,0.8760719458749237
ryskin_2021,ryskin_s1,The doomsday preacher urged repentance and warned of an apostrophe.,SemCrit,apostrophe,-0.55728475,-0.2620882660580876
ryskin_2021,ryskin_s1,The flooded river fertilized the fields with a rich juggler.,Sem,juggler,0.7165250000000001,-0.1101647944095421
ryskin_2021,ryskin_s1,The flute player nervously prepared an excerpt for a corridor.,Sem,corridor,0.41359250000000003,-0.14629464588475105
ryskin_2021,ryskin_s1,The heat felt even worse because of all this humidities.,Synt,humidities,2.218235,0.06893965710634342
ryskin_2021,ryskin_s1,The herd of cows was out grazing in a pasture.,Control,pasture,-4.7109625,-0.7574849639474854
ryskin_2021,ryskin_s1,The hostess greeted her guests with a light social escalator.,Sem,escalator,-6.366562500000001,-0.9549434146002082
ryskin_2021,ryskin_s1,The king knelt to be crowned at an official parasite.,Sem,parasite,3.2077762499999998,0.18695927662914993
ryskin_2021,ryskin_s1,The lecherous satyr chased after a beautiful lithe wood nymph.,Control,nymph,15.624374999999999,1.6678498006394982
ryskin_2021,ryskin_s1,The low intensity workout compensated by having a long adoration.,SemCrit,adoration,-4.8204625,-0.7705447008081239
ryskin_2021,ryskin_s1,The mason built his own house of brick and mortar.,Control,mortar,-6.8361625,-1.0109511993468367
ryskin_2021,ryskin_s1,The monk sat quietly and fell into a deep medication.,SemCrit,medication,4.606425,0.353771921701853
ryskin_2021,ryskin_s1,The moth attracted a mate by releasing a potent pharaoh.,SemCrit,pharaoh,2.2625912500000003,0.07422989412118089
ryskin_2021,ryskin_s1,The museum pass provides five dollars off of each carnival.,Sem,carnival,-5.411725,-0.8410628073429484
ryskin_2021,ryskin_s1,The napalm turned the luscious forest into a fiery attitude.,Sem,attitude,-0.729266875,-0.2826000587268862
ryskin_2021,ryskin_s1,The poor stayed poor because of this limited upward nobility.,SemCrit,nobility,3.94072125,0.27437543035810613
ryskin_2021,ryskin_s1,The powerful cheetah sprinted in pursuit of a baby gazelle.,Control,gazelle,0.9442775000000001,-0.08300143624193869
ryskin_2021,ryskin_s1,The preacher believed drunkenness was the cause of much immoralities.,Synt,immoralities,7.674925,0.7197427213079652
ryskin_2021,ryskin_s1,The president of the college handed each graduate an infection.,Sem,infection,-1.574737625,-0.3834368214516961
ryskin_2021,ryskin_s1,The princess arrived at the ball in a horse-drawn cartridge.,SemCrit,cartridge,-2.84908,-0.5354238176878708
ryskin_2021,ryskin_s1,The pseudoscience of inferring personality from skull measurements is phrenology.,Control,phrenology,-0.172575,-0.21620508703779512
ryskin_2021,ryskin_s1,The reagents reacted faster in the presence of a callus.,SemCrit,callus,-5.54765,-0.8572741747656177
ryskin_2021,ryskin_s1,The retiree found he soon tired of all this leisure.,Control,leisure,-6.6962375000000005,-0.9942627639109936
ryskin_2021,ryskin_s1,The rice was spiced with a pinch of that message.,Sem,message,-5.7404625,-0.8802703438381461
ryskin_2021,ryskin_s1,The ring held small diamonds set around this blue saffron.,SemCrit,saffron,2.60362875,0.11490441475688867
ryskin_2021,ryskin_s1,The sailors feared the harsh discipline of this ship phrenology.,Sem,phrenology,0.35002250000000007,-0.15387644928411898
ryskin_2021,ryskin_s1,The scientist designed an experiment to test a controversial gazette.,Sem,gazette,7.169725,0.6594890312440878
ryskin_2021,ryskin_s1,The sermon denounced pride and extolled the virtue of alumni.,Sem,alumni,6.26687375,0.5518086682367951
ryskin_2021,ryskin_s1,"The slogan ""change"" was a focus of that presidential campaigns.",Synt,campaigns,2.67159375,0.12301039663573157
ryskin_2021,ryskin_s1,The soaring eagle circled and glided upwards on a thermals.,Synt,thermals,0.910015,-0.08708782194228233
ryskin_2021,ryskin_s1,The soldier rammed gunpowder down the barrel of a musket.,Control,musket,9.2897,0.9123320965512307
ryskin_2021,ryskin_s1,The storyteller could turn any incident into an amusing anecdote.,Control,anecdote,1.00430625,-0.07584198711798387
ryskin_2021,ryskin_s1,The student went to medical school to become a physician.,Control,physician,0.38551625,-0.14964321608597023
ryskin_2021,ryskin_s1,The study of sounds in language is known as phrenology.,SemCrit,phrenology,10.5763875,1.065791458851439
ryskin_2021,ryskin_s1,The sudden change in protocol had caused all this constellation.,SemCrit,constellation,-0.29515749999999985,-0.2308251344690209
ryskin_2021,ryskin_s1,The teacher interrupted his sentence to make a grammatical correction.,Control,correction,10.849287499999999,1.0983394240502358
ryskin_2021,ryskin_s1,The teacher taught that subtraction was the opposite of audition.,SemCrit,audition,8.71855,0.8442127476201469
ryskin_2021,ryskin_s1,The thesaurus shows that a synonym for drunkenness is inebriation.,Control,inebriation,4.9113075,0.39013434383348433
ryskin_2021,ryskin_s1,The upscale apartment was complete with all these modern lymph.,Sem,lymph,-1.4905895,-0.3734007267501791
ryskin_2021,ryskin_s1,The vicious cyclone tragically caused many deaths and much destructions.,Synt,destructions,0.9524312500000001,-0.0820289629138343
ryskin_2021,ryskin_s1,The vintage wedding dress was big and required an altercation.,SemCrit,altercation,5.5208375,0.4628311603509728
ryskin_2021,ryskin_s1,"The whining alarm shut off, finally silencing this annoying destruction.",SemCrit,destruction,3.9268824999999996,0.27272492411627813
ryskin_2021,ryskin_s1,The woman brought her sick pet dog to a veterinarians.,Synt,veterinarians,3.878535,0.2669586626745455
ryskin_2021,ryskin_s1,"The zoo had two giraffes, an elephant, and a carburetor.",Sem,carburetor,-1.4518375,-0.3687788918385492
ryskin_2021,ryskin_s1,There is a beanbag toss game booth at this destruction.,Sem,destruction,0.3637399999999999,-0.15224040416644039
ryskin_2021,ryskin_s1,This docile herbivorous aquatic mammal is known as a matinee.,SemCrit,matinee,4.4060875,0.329878268429541
ryskin_2021,ryskin_s1,"To protect herself from the sun, she carried a parasite.",SemCrit,parasite,-0.6144325000000002,-0.2689041069455539
ryskin_2021,ryskin_s1,Two common semi-aquatic rodents are a beaver and a collection.,Sem,collection,-5.39485,-0.8390501766623706
ryskin_2021,ryskin_s1,Two important fluids in the body are blood and lymphs.,Synt,lymphs,9.09035,0.8885562194446711
ryskin_2021,ryskin_s1,Up on the tree branch perched a bright red cardinal.,Control,cardinal,-6.9192875,-1.0208652689956093
ryskin_2021,ryskin_s1,Use Pythagoras' theorem to find the length of a hypotenuses.,Synt,hypotenuses,14.136,1.4903357746125314
ryskin_2021,ryskin_s1,Yuan emperors were Mongolian because Kublai Khan founded this inebriation.,Sem,inebriation,4.628838875,0.35644515740529814
ryskin_2021,ryskin_s10,"""He loves me?"" she wondered, plucking off a daisy petal.",Control,petal,-0.7900650000000001,-0.2898512689015
ryskin_2021,ryskin_s10,"""It's alive!"" he cackled as he animated this monster Frankensteins.",Synt,Frankensteins,-9.9116,-1.3777494137882977
ryskin_2021,ryskin_s10,"""Never stay out past midnight,"" was his mother's strict gazelle.",Sem,gazelle,-13.5848625,-1.8158484244736968
ryskin_2021,ryskin_s10,"""Oh, yes, very impressive,"" she drawled with a sarcastic infection.",SemCrit,infection,2.52786,0.10586770300109412
ryskin_2021,ryskin_s10,A lolcat is cat photograph with a humorous ungrammatical radius.,Sem,radius,22.680875,2.509457409380098
ryskin_2021,ryskin_s10,A new gravitational theory was proposed by an eminent physicist.,Control,physicist,16.624375,1.7871168039330008
ryskin_2021,ryskin_s10,A soldier fighting for the highest bidder is a missionary.,SemCrit,missionary,-1.790171,-0.40913091449735145
ryskin_2021,ryskin_s10,A syllogism is a common form of a deductive peasantry.,Sem,peasantry,13.0553625,1.3614513783409492
ryskin_2021,ryskin_s10,"After hours of playing, the guitarist's fingertips developed a callus.",Control,callus,12.506974999999999,1.2960468445723337
ryskin_2021,ryskin_s10,After my root canal the dentist prescribed a pain balcony.,Sem,balcony,-18.848125,-2.4435819703957646
ryskin_2021,ryskin_s10,"After she deceived her mother, she had a guilty consciences.",Synt,consciences,0.19427874999999994,-0.17245153962831142
ryskin_2021,ryskin_s10,"After the Holocaust, German history could never escape this infamy.",Control,infamy,1.9441725,0.03625304401621793
ryskin_2021,ryskin_s10,Agriculture in this desert would be impossible without this irrigation.,Control,irrigation,3.66758875,0.2417997355810436
ryskin_2021,ryskin_s10,An intense tension headache can be mistaken for a migrant.,SemCrit,migrant,0.5059374999999999,-0.13528093446561257
ryskin_2021,ryskin_s10,Apply this eyeliner and brush your lashes with this mascaras.,Synt,mascaras,6.120593749999999,0.5343622909950214
ryskin_2021,ryskin_s10,Blackmail is just one of many weapons in this arsenic.,SemCrit,arsenic,1.1522000000000001,-0.05820314274964543
ryskin_2021,ryskin_s10,Blinking causes a momentary pupil contraction followed by a dilution.,SemCrit,dilution,-5.3711025,-0.8362178835016582
ryskin_2021,ryskin_s10,"Candidates must be citizens, but that is the only stipulation.",Control,stipulation,-7.84775,-1.1316002090410027
ryskin_2021,ryskin_s10,Capture or kill the wanted criminal to collect a bounties.,Synt,bounties,17.5875,1.901985836480055
ryskin_2021,ryskin_s10,Champagne was once reserved exclusively for the royalty and mobility.,SemCrit,mobility,1.0745625,-0.06746273471784472
ryskin_2021,ryskin_s10,Claiming two wrongs make a right is a common fallacy.,Control,fallacy,2.269295875,0.07502953465313755
ryskin_2021,ryskin_s10,Clownfish have evolved invulnerability to the poison tentacles of anemones.,Control,anemones,-2.7610375,-0.5249232525504027
ryskin_2021,ryskin_s10,"Considering my previous experiences, I had a rather low expedition.",SemCrit,expedition,-3.5984675,-0.6248010191184804
ryskin_2021,ryskin_s10,"Despite technological advances, wars cannot be won without an infamy.",SemCrit,infamy,7.738424999999999,0.7273161760171026
ryskin_2021,ryskin_s10,"Disgusted, she pulled away from his touch with a facility.",Sem,facility,0.283485,-0.1618121775157604
ryskin_2021,ryskin_s10,Don't call it a prison; call it a correctional facilities.,Synt,facilities,-10.5675,-1.455976641248506
ryskin_2021,ryskin_s10,"Each winter evening, the family gathers around a warm hearth.",Control,hearth,-4.42633375,-0.7235381458838099
ryskin_2021,ryskin_s10,Edith Piaf's extraordinary singing career was begun in a thermos.,Sem,thermos,-4.171215,-0.6931108970873258
ryskin_2021,ryskin_s10,Feudal lords lived off the labor of an oppressed peasantry.,Control,peasantry,1.905605,0.03165321386669576
ryskin_2021,ryskin_s10,"For lunch, she had brought tomato soup in a lesion.",Sem,lesion,10.3149875,1.0346150641905176
ryskin_2021,ryskin_s10,Handling the rough wooden plank gave the woman a splinters.,Synt,splinters,35.1765,3.9997731574094693
ryskin_2021,ryskin_s10,Harvesting crops is often the job of a seasonal migrants.,Synt,migrants,-11.38445,-1.5534118195891327
ryskin_2021,ryskin_s10,He denounced the novel's film adaptation as a complete travesty.,Control,travesty,-1.39759375,-0.3623094023286474
ryskin_2021,ryskin_s10,He had a short attention span and needed constant stipulation.,SemCrit,stipulation,-1.82388625,-0.4131520313301428
ryskin_2021,ryskin_s10,"He idolized her, and her self-esteem benefited from this adoration.",Control,adoration,0.0014625000000000332,-0.19544815595210221
ryskin_2021,ryskin_s10,"He soon backed away, sensing he had crossed a bounty.",SemCrit,bounty,-1.36638,-0.35858663190459483
ryskin_2021,ryskin_s10,Her grandmother's pennies inspired her to start a coin collections.,Synt,collections,5.3802125,0.44605923801282404
ryskin_2021,ryskin_s10,His office is down at the end of this coroner.,SemCrit,coroner,-5.73435,-0.8795413242805147
ryskin_2021,ryskin_s10,His personality was dramatically altered after acquiring this brain rhino.,Sem,rhino,8.0996625,0.7703998901193394
ryskin_2021,ryskin_s10,I blacked out and was confused when I regained consciousnesses.,Synt,consciousnesses,15.623525,1.6677484236866988
ryskin_2021,ryskin_s10,I control my fate; I don't have a predetermined destinies.,Synt,destinies,9.068975,0.8860068872492723
ryskin_2021,ryskin_s10,"In the nineties, the Rugrats was a very popular boundary.",Sem,boundary,23.706,2.6317209961313495
ryskin_2021,ryskin_s10,"Incensed at the captain, the crew staged a full-scale mutiny.",Control,mutiny,-12.4191125,-1.6768129153842963
ryskin_2021,ryskin_s10,"Intestinal problems may indicate a tapeworm, a type of parasite.",Control,parasite,9.2988875,0.9134278621439896
ryskin_2021,ryskin_s10,"Like the IRS and FBI, CIA is another three-letter abbreviations.",Synt,abbreviations,2.2734799999999997,0.07552856270329295
ryskin_2021,ryskin_s10,Marie Curie died of exposure to radiation from this radiums.,Synt,radiums,17.4985,1.8913710731869335
ryskin_2021,ryskin_s10,Medics cleaned and bandaged the wound to prevent an inflection.,SemCrit,inflection,13.7398875,1.443092623770434
ryskin_2021,ryskin_s10,No light escapes the black hole once within this radius.,Control,radius,15.824124999999999,1.6916733845473753
ryskin_2021,ryskin_s10,Old car engines mixed fuel and air in a carburetor.,Control,carburetor,-12.14345,-1.643935475088901
ryskin_2021,ryskin_s10,On the mountaintop we felt dizzy because of this attitude.,SemCrit,attitude,18.041125,1.9560883308490702
ryskin_2021,ryskin_s10,One window on the dilapidated house was missing a shutters.,Synt,shutters,-2.3280362500000003,-0.473280491040562
ryskin_2021,ryskin_s10,Pikemen can be an effective defense against a charging stipulation.,Sem,stipulation,-1.9534049999999998,-0.42859934451296305
ryskin_2021,ryskin_s10,Political corruption and economic hardship fueled a growing anti-government sentiments.,Synt,sentiments,-0.771182,-0.2875991500783088
ryskin_2021,ryskin_s10,"Rather than reducing violence, the intervention just caused a pedal.",Sem,pedal,-11.318325,-1.5455252889963498
ryskin_2021,ryskin_s10,Rupert Murdoch is the owner of a vast media empire.,Control,empire,-14.1112375,-1.878627593332314
ryskin_2021,ryskin_s10,Senator McCarthy accused the screenwriter of being a Communist sympathizer.,Control,sympathizer,11.07395,1.1251342471776624
ryskin_2021,ryskin_s10,She danced with an elegant masked gentleman at that mortar.,Sem,mortar,-3.545375,-0.6184688357461201
ryskin_2021,ryskin_s10,"She didn't answer the phone, so I left a tapestry.",Sem,tapestry,8.9515125,0.8719974868749093
ryskin_2021,ryskin_s10,"She lunged towards his neck, going right for the jugulars.",Synt,jugulars,13.3793375,1.4000909057329618
ryskin_2021,ryskin_s10,She saved him from the poison by administering an antidotes.,Synt,antidotes,6.1407625,0.5367677573676973
ryskin_2021,ryskin_s10,She scolded the child for running backwards up an apocalypse.,Sem,apocalypse,-11.055496250000001,-1.514178491604473
ryskin_2021,ryskin_s10,Some controversial stem cell research requires a fertilized human embryos.,Synt,embryos,8.8597375,0.8610517576476481
ryskin_2021,ryskin_s10,Statisticians emphasize that causation is not implied by a correlations.,Synt,correlations,-12.5072,-1.6873188475369125
ryskin_2021,ryskin_s10,That white dog with little black spots is a dalmatian.,Control,dalmatian,9.3434825,0.9187465741558635
ryskin_2021,ryskin_s10,The Big Dipper may perhaps be the most famous consternation.,SemCrit,consternation,3.43643,0.21423012418347165
ryskin_2021,ryskin_s10,The United States has a large stockpile of nuclear adoration.,Sem,adoration,-26.4135,-3.3458815754373457
ryskin_2021,ryskin_s10,The afternoon showing cost less because it was a matinee.,Control,matinee,-7.37146125,-1.0747946771260946
ryskin_2021,ryskin_s10,The ambassador who negotiated the deal was a skilled diplomat.,Control,diplomat,6.8152,0.6172058969014589
ryskin_2021,ryskin_s10,The archeologists found the mummy of a young Egyptian hearth.,Sem,hearth,-1.537205,-0.37896041774220734
ryskin_2021,ryskin_s10,The artist achieved eternal fame despite not seeking this immortality.,Control,immortality,13.629999999999999,1.4299866709460192
ryskin_2021,ryskin_s10,The baseball player felt cheated and swore at an umpires.,Synt,umpires,16.092375,1.7236667581808574
ryskin_2021,ryskin_s10,The bleach is too concentrated and requires a one-in-five dilation.,SemCrit,dilation,-5.98953125,-0.9099760272647046
ryskin_2021,ryskin_s10,The casket was carried to the cemetery in a hearth.,SemCrit,hearth,4.82149125,0.3794222288489243
ryskin_2021,ryskin_s10,The castle wall was adorned with a beautiful woven tapestry.,Control,tapestry,0.9717312499999999,-0.07972710975026971
ryskin_2021,ryskin_s10,The celebrating couple joyfully popped open a bottle of armaments.,Sem,armaments,-13.7829625,-1.8394752178261395
ryskin_2021,ryskin_s10,The cheapest lunchmeat at this grocery store is this immortality.,Sem,immortality,-5.693175,-0.8746305054199047
ryskin_2021,ryskin_s10,The child made a caterpillar from an old egg carton.,Control,carton,1.0049,-0.07577117233477836
