dataset,stim_id,stim,stim_lower,critical_word
frank_2015,1225,Anne lost control and laughed,anne lost control and laughed,control
frank_2015,1226,Anne lost control and laughed,anne lost control and laughed,and
frank_2015,1227,Anne lost control and laughed,anne lost control and laughed,laughed
frank_2015,1228,I am touched deeply in places,i am touched deeply in places,am
frank_2015,1229,I am touched deeply in places,i am touched deeply in places,touched
frank_2015,1230,I am touched deeply in places,i am touched deeply in places,deeply
frank_2015,1231,I am touched deeply in places,i am touched deeply in places,in
frank_2015,1232,I am touched deeply in places,i am touched deeply in places,places
frank_2015,1233,Gordon felt his anger build up,gordon felt his anger build up,felt
frank_2015,1234,Gordon felt his anger build up,gordon felt his anger build up,his
frank_2015,1235,Gordon felt his anger build up,gordon felt his anger build up,anger
frank_2015,1236,Gordon felt his anger build up,gordon felt his anger build up,build
frank_2015,1237,Gordon felt his anger build up,gordon felt his anger build up,up
frank_2015,1238,He needed putting in his place,he needed putting in his place,needed
frank_2015,1239,He needed putting in his place,he needed putting in his place,putting
frank_2015,1240,He needed putting in his place,he needed putting in his place,in
frank_2015,1241,He needed putting in his place,he needed putting in his place,his
frank_2015,1242,He needed putting in his place,he needed putting in his place,place
frank_2015,1243,Ill give him more than a slap,ill give him more than a slap,give
frank_2015,1244,Ill give him more than a slap,ill give him more than a slap,him
frank_2015,1245,Ill give him more than a slap,ill give him more than a slap,more
frank_2015,1246,Ill give him more than a slap,ill give him more than a slap,than
frank_2015,1247,Ill give him more than a slap,ill give him more than a slap,a
frank_2015,1248,Ill give him more than a slap,ill give him more than a slap,slap
frank_2015,1249,Five will be listening for sure,five will be listening for sure,will
frank_2015,1250,Five will be listening for sure,five will be listening for sure,be
frank_2015,1251,Five will be listening for sure,five will be listening for sure,listening
frank_2015,1252,Five will be listening for sure,five will be listening for sure,for
frank_2015,1253,Five will be listening for sure,five will be listening for sure,sure
frank_2015,1254,Ross sat back down and shivered,ross sat back down and shivered,sat
frank_2015,1255,Ross sat back down and shivered,ross sat back down and shivered,back
frank_2015,1256,Ross sat back down and shivered,ross sat back down and shivered,down
frank_2015,1257,Ross sat back down and shivered,ross sat back down and shivered,and
frank_2015,1258,Ross sat back down and shivered,ross sat back down and shivered,shivered
frank_2015,1259,She couldnt help feel for Alex,she couldnt help feel for alex,couldn't
frank_2015,1260,She couldnt help feel for Alex,she couldnt help feel for alex,help
frank_2015,1261,She couldnt help feel for Alex,she couldnt help feel for alex,feel
frank_2015,1262,She couldnt help feel for Alex,she couldnt help feel for alex,for
frank_2015,1263,She couldnt help feel for Alex,she couldnt help feel for alex,Alex
frank_2015,1264,Theyre riding out to meet them,theyre riding out to meet them,riding
frank_2015,1265,Theyre riding out to meet them,theyre riding out to meet them,out
frank_2015,1266,Theyre riding out to meet them,theyre riding out to meet them,to
frank_2015,1267,Theyre riding out to meet them,theyre riding out to meet them,meet
frank_2015,1268,Theyre riding out to meet them,theyre riding out to meet them,them
frank_2015,1269,Looks like a walk did the trick,looks like a walk did the trick,like
frank_2015,1270,Looks like a walk did the trick,looks like a walk did the trick,a
frank_2015,1271,Looks like a walk did the trick,looks like a walk did the trick,walk
frank_2015,1272,Looks like a walk did the trick,looks like a walk did the trick,did
frank_2015,1273,Looks like a walk did the trick,looks like a walk did the trick,the
frank_2015,1274,Looks like a walk did the trick,looks like a walk did the trick,trick
frank_2015,1275,Steve sat down to eat his lunch,steve sat down to eat his lunch,sat
frank_2015,1276,Steve sat down to eat his lunch,steve sat down to eat his lunch,down
frank_2015,1277,Steve sat down to eat his lunch,steve sat down to eat his lunch,to
frank_2015,1278,Steve sat down to eat his lunch,steve sat down to eat his lunch,eat
frank_2015,1279,Steve sat down to eat his lunch,steve sat down to eat his lunch,his
frank_2015,1280,Steve sat down to eat his lunch,steve sat down to eat his lunch,lunch
frank_2015,1281,The campaign will pay for itself,the campaign will pay for itself,campaign
frank_2015,1282,The campaign will pay for itself,the campaign will pay for itself,will
frank_2015,1283,The campaign will pay for itself,the campaign will pay for itself,pay
frank_2015,1284,The campaign will pay for itself,the campaign will pay for itself,for
frank_2015,1285,The campaign will pay for itself,the campaign will pay for itself,itself
frank_2015,1286,We barely escaped with our lives,we barely escaped with our lives,barely
frank_2015,1287,We barely escaped with our lives,we barely escaped with our lives,escaped
frank_2015,1288,We barely escaped with our lives,we barely escaped with our lives,with
frank_2015,1289,We barely escaped with our lives,we barely escaped with our lives,our
frank_2015,1290,We barely escaped with our lives,we barely escaped with our lives,lives
frank_2015,1291,Sam felt proud when he went home,sam felt proud when he went home,felt
frank_2015,1292,Sam felt proud when he went home,sam felt proud when he went home,proud
frank_2015,1293,Sam felt proud when he went home,sam felt proud when he went home,when
frank_2015,1294,Sam felt proud when he went home,sam felt proud when he went home,he
frank_2015,1295,Sam felt proud when he went home,sam felt proud when he went home,went
frank_2015,1296,Sam felt proud when he went home,sam felt proud when he went home,home
frank_2015,1297,Scott got up and washed his plate,scott got up and washed his plate,got
frank_2015,1298,Scott got up and washed his plate,scott got up and washed his plate,up
frank_2015,1299,Scott got up and washed his plate,scott got up and washed his plate,and
frank_2015,1300,Scott got up and washed his plate,scott got up and washed his plate,washed
frank_2015,1301,Scott got up and washed his plate,scott got up and washed his plate,his
frank_2015,1302,Scott got up and washed his plate,scott got up and washed his plate,plate
frank_2015,1303,Tom stood up and wiped his jeans,tom stood up and wiped his jeans,stood
frank_2015,1304,Tom stood up and wiped his jeans,tom stood up and wiped his jeans,up
frank_2015,1305,Tom stood up and wiped his jeans,tom stood up and wiped his jeans,and
frank_2015,1306,Tom stood up and wiped his jeans,tom stood up and wiped his jeans,wiped
frank_2015,1307,Tom stood up and wiped his jeans,tom stood up and wiped his jeans,his
frank_2015,1308,Tom stood up and wiped his jeans,tom stood up and wiped his jeans,jeans
frank_2015,1309,He shouted and the calling ceased,he shouted and the calling ceased,shouted
frank_2015,1310,He shouted and the calling ceased,he shouted and the calling ceased,and
frank_2015,1311,He shouted and the calling ceased,he shouted and the calling ceased,the
frank_2015,1312,He shouted and the calling ceased,he shouted and the calling ceased,calling
frank_2015,1313,He shouted and the calling ceased,he shouted and the calling ceased,ceased
frank_2015,1314,Hes broken his wrists very badly,hes broken his wrists very badly,broken
frank_2015,1315,Hes broken his wrists very badly,hes broken his wrists very badly,his
frank_2015,1316,Hes broken his wrists very badly,hes broken his wrists very badly,wrists
frank_2015,1317,Hes broken his wrists very badly,hes broken his wrists very badly,very
frank_2015,1318,Hes broken his wrists very badly,hes broken his wrists very badly,badly
frank_2015,1319,Ted smiled and bit his bottom lip,ted smiled and bit his bottom lip,smiled
frank_2015,1320,Ted smiled and bit his bottom lip,ted smiled and bit his bottom lip,and
frank_2015,1321,Ted smiled and bit his bottom lip,ted smiled and bit his bottom lip,bit
frank_2015,1322,Ted smiled and bit his bottom lip,ted smiled and bit his bottom lip,his
frank_2015,1323,Ted smiled and bit his bottom lip,ted smiled and bit his bottom lip,bottom
frank_2015,1324,Ted smiled and bit his bottom lip,ted smiled and bit his bottom lip,lip
frank_2015,1325,She had refused to leave her home,she had refused to leave her home,had
frank_2015,1326,She had refused to leave her home,she had refused to leave her home,refused
frank_2015,1327,She had refused to leave her home,she had refused to leave her home,to
frank_2015,1328,She had refused to leave her home,she had refused to leave her home,leave
frank_2015,1329,She had refused to leave her home,she had refused to leave her home,her
frank_2015,1330,She had refused to leave her home,she had refused to leave her home,home
frank_2015,1331,The dead must not kill the living,the dead must not kill the living,dead
frank_2015,1332,The dead must not kill the living,the dead must not kill the living,must
frank_2015,1333,The dead must not kill the living,the dead must not kill the living,not
frank_2015,1334,The dead must not kill the living,the dead must not kill the living,kill
frank_2015,1335,The dead must not kill the living,the dead must not kill the living,the
frank_2015,1336,The dead must not kill the living,the dead must not kill the living,living
frank_2015,1337,"The van is your lead, follow that","the van is your lead, follow that",van
frank_2015,1338,"The van is your lead, follow that","the van is your lead, follow that",is
frank_2015,1339,"The van is your lead, follow that","the van is your lead, follow that",your
frank_2015,1340,"The van is your lead, follow that","the van is your lead, follow that",lead
frank_2015,1341,"The van is your lead, follow that","the van is your lead, follow that",follow
frank_2015,1342,"The van is your lead, follow that","the van is your lead, follow that",that
frank_2015,1343,Harry smiled at his little brother,harry smiled at his little brother,smiled
frank_2015,1344,Harry smiled at his little brother,harry smiled at his little brother,at
frank_2015,1345,Harry smiled at his little brother,harry smiled at his little brother,his
frank_2015,1346,Harry smiled at his little brother,harry smiled at his little brother,little
frank_2015,1347,Harry smiled at his little brother,harry smiled at his little brother,brother
frank_2015,1348,She hid the boxes and matches well,she hid the boxes and matches well,hid
frank_2015,1349,She hid the boxes and matches well,she hid the boxes and matches well,the
frank_2015,1350,She hid the boxes and matches well,she hid the boxes and matches well,boxes
frank_2015,1351,She hid the boxes and matches well,she hid the boxes and matches well,and
frank_2015,1352,She hid the boxes and matches well,she hid the boxes and matches well,matches
frank_2015,1353,She hid the boxes and matches well,she hid the boxes and matches well,well
frank_2015,1354,He called out but she did not move,he called out but she did not move,called
frank_2015,1355,He called out but she did not move,he called out but she did not move,out
frank_2015,1356,He called out but she did not move,he called out but she did not move,but
frank_2015,1357,He called out but she did not move,he called out but she did not move,she
frank_2015,1358,He called out but she did not move,he called out but she did not move,did
frank_2015,1359,He called out but she did not move,he called out but she did not move,not
frank_2015,1360,He called out but she did not move,he called out but she did not move,move
frank_2015,1361,I do not spare the birds a killing,i do not spare the birds a killing,do
frank_2015,1362,I do not spare the birds a killing,i do not spare the birds a killing,not
frank_2015,1363,I do not spare the birds a killing,i do not spare the birds a killing,spare
frank_2015,1364,I do not spare the birds a killing,i do not spare the birds a killing,the
frank_2015,1365,I do not spare the birds a killing,i do not spare the birds a killing,birds
frank_2015,1366,I do not spare the birds a killing,i do not spare the birds a killing,a
frank_2015,1367,I do not spare the birds a killing,i do not spare the birds a killing,killing
frank_2015,1368,Normally they want to cut things up,normally they want to cut things up,they
frank_2015,1369,Normally they want to cut things up,normally they want to cut things up,want
frank_2015,1370,Normally they want to cut things up,normally they want to cut things up,to
frank_2015,1371,Normally they want to cut things up,normally they want to cut things up,cut
frank_2015,1372,Normally they want to cut things up,normally they want to cut things up,things
frank_2015,1373,Normally they want to cut things up,normally they want to cut things up,up
frank_2015,1374,"Powerful in the wrong hands, is that","powerful in the wrong hands, is that",in
frank_2015,1375,"Powerful in the wrong hands, is that","powerful in the wrong hands, is that",the
frank_2015,1376,"Powerful in the wrong hands, is that","powerful in the wrong hands, is that",wrong
frank_2015,1377,"Powerful in the wrong hands, is that","powerful in the wrong hands, is that",hands
frank_2015,1378,"Powerful in the wrong hands, is that","powerful in the wrong hands, is that",is
frank_2015,1379,"Powerful in the wrong hands, is that","powerful in the wrong hands, is that",that
frank_2015,1380,There will be men to kill either way,there will be men to kill either way,will
frank_2015,1381,There will be men to kill either way,there will be men to kill either way,be
frank_2015,1382,There will be men to kill either way,there will be men to kill either way,men
frank_2015,1383,There will be men to kill either way,there will be men to kill either way,to
frank_2015,1384,There will be men to kill either way,there will be men to kill either way,kill
frank_2015,1385,There will be men to kill either way,there will be men to kill either way,either
frank_2015,1386,There will be men to kill either way,there will be men to kill either way,way
frank_2015,1387,Simon nodded and walked into the room,simon nodded and walked into the room,nodded
frank_2015,1388,Simon nodded and walked into the room,simon nodded and walked into the room,and
frank_2015,1389,Simon nodded and walked into the room,simon nodded and walked into the room,walked
frank_2015,1390,Simon nodded and walked into the room,simon nodded and walked into the room,into
frank_2015,1391,Simon nodded and walked into the room,simon nodded and walked into the room,the
frank_2015,1392,Simon nodded and walked into the room,simon nodded and walked into the room,room
frank_2015,1393,The prison guard walked along the row,the prison guard walked along the row,prison
frank_2015,1394,The prison guard walked along the row,the prison guard walked along the row,guard
frank_2015,1395,The prison guard walked along the row,the prison guard walked along the row,walked
frank_2015,1396,The prison guard walked along the row,the prison guard walked along the row,along
frank_2015,1397,The prison guard walked along the row,the prison guard walked along the row,the
frank_2015,1398,The prison guard walked along the row,the prison guard walked along the row,row
frank_2015,1399,He slammed the knife down on the lamb,he slammed the knife down on the lamb,slammed
frank_2015,1400,He slammed the knife down on the lamb,he slammed the knife down on the lamb,the
frank_2015,1401,He slammed the knife down on the lamb,he slammed the knife down on the lamb,knife
frank_2015,1402,He slammed the knife down on the lamb,he slammed the knife down on the lamb,down
frank_2015,1403,He slammed the knife down on the lamb,he slammed the knife down on the lamb,on
frank_2015,1404,He slammed the knife down on the lamb,he slammed the knife down on the lamb,lamb
frank_2015,1405,He smiled when she let out a big yawn,he smiled when she let out a big yawn,smiled
frank_2015,1406,He smiled when she let out a big yawn,he smiled when she let out a big yawn,when
frank_2015,1407,He smiled when she let out a big yawn,he smiled when she let out a big yawn,she
frank_2015,1408,He smiled when she let out a big yawn,he smiled when she let out a big yawn,let
frank_2015,1409,He smiled when she let out a big yawn,he smiled when she let out a big yawn,out
frank_2015,1410,He smiled when she let out a big yawn,he smiled when she let out a big yawn,a
frank_2015,1411,He smiled when she let out a big yawn,he smiled when she let out a big yawn,big
frank_2015,1412,He smiled when she let out a big yawn,he smiled when she let out a big yawn,yawn
frank_2015,1413,You give me a lead and Ill follow it,you give me a lead and ill follow it,give
frank_2015,1414,You give me a lead and Ill follow it,you give me a lead and ill follow it,me
frank_2015,1415,You give me a lead and Ill follow it,you give me a lead and ill follow it,a
frank_2015,1416,You give me a lead and Ill follow it,you give me a lead and ill follow it,lead
frank_2015,1417,You give me a lead and Ill follow it,you give me a lead and ill follow it,and
frank_2015,1418,You give me a lead and Ill follow it,you give me a lead and ill follow it,I'll
frank_2015,1419,You give me a lead and Ill follow it,you give me a lead and ill follow it,follow
frank_2015,1420,You give me a lead and Ill follow it,you give me a lead and ill follow it,it
frank_2015,1421,The bored looking soldier just pointed,the bored looking soldier just pointed,bored
frank_2015,1422,The bored looking soldier just pointed,the bored looking soldier just pointed,looking
frank_2015,1423,The bored looking soldier just pointed,the bored looking soldier just pointed,soldier
frank_2015,1424,The bored looking soldier just pointed,the bored looking soldier just pointed,just
frank_2015,1425,The bored looking soldier just pointed,the bored looking soldier just pointed,pointed
frank_2015,1426,Alice is looking for somewhere to live,alice is looking for somewhere to live,is
frank_2015,1427,Alice is looking for somewhere to live,alice is looking for somewhere to live,looking
frank_2015,1428,Alice is looking for somewhere to live,alice is looking for somewhere to live,for
frank_2015,1429,Alice is looking for somewhere to live,alice is looking for somewhere to live,somewhere
frank_2015,1430,Alice is looking for somewhere to live,alice is looking for somewhere to live,to
frank_2015,1431,Alice is looking for somewhere to live,alice is looking for somewhere to live,live
frank_2015,1432,Thomas stepped back and shook his head,thomas stepped back and shook his head,stepped
frank_2015,1433,Thomas stepped back and shook his head,thomas stepped back and shook his head,back
frank_2015,1434,Thomas stepped back and shook his head,thomas stepped back and shook his head,and
frank_2015,1435,Thomas stepped back and shook his head,thomas stepped back and shook his head,shook
frank_2015,1436,Thomas stepped back and shook his head,thomas stepped back and shook his head,his
frank_2015,1437,Thomas stepped back and shook his head,thomas stepped back and shook his head,head
frank_2015,1438,Tony stopped off at his first delivery,tony stopped off at his first delivery,stopped
frank_2015,1439,Tony stopped off at his first delivery,tony stopped off at his first delivery,off
frank_2015,1440,Tony stopped off at his first delivery,tony stopped off at his first delivery,at
frank_2015,1441,Tony stopped off at his first delivery,tony stopped off at his first delivery,his
frank_2015,1442,Tony stopped off at his first delivery,tony stopped off at his first delivery,first
frank_2015,1443,Tony stopped off at his first delivery,tony stopped off at his first delivery,delivery
frank_2015,1444,Youre getting up early in the morning,youre getting up early in the morning,getting
frank_2015,1445,Youre getting up early in the morning,youre getting up early in the morning,up
frank_2015,1446,Youre getting up early in the morning,youre getting up early in the morning,early
frank_2015,1447,Youre getting up early in the morning,youre getting up early in the morning,in
frank_2015,1448,Youre getting up early in the morning,youre getting up early in the morning,the
frank_2015,1449,Youre getting up early in the morning,youre getting up early in the morning,morning
frank_2015,1450,He sat down and began to eat breakfast,he sat down and began to eat breakfast,sat
frank_2015,1451,He sat down and began to eat breakfast,he sat down and began to eat breakfast,down
frank_2015,1452,He sat down and began to eat breakfast,he sat down and began to eat breakfast,and
frank_2015,1453,He sat down and began to eat breakfast,he sat down and began to eat breakfast,began
frank_2015,1454,He sat down and began to eat breakfast,he sat down and began to eat breakfast,to
frank_2015,1455,He sat down and began to eat breakfast,he sat down and began to eat breakfast,eat
frank_2015,1456,He sat down and began to eat breakfast,he sat down and began to eat breakfast,breakfast
frank_2015,1457,She saw the throwing knife in his hand,she saw the throwing knife in his hand,saw
frank_2015,1458,She saw the throwing knife in his hand,she saw the throwing knife in his hand,the
frank_2015,1459,She saw the throwing knife in his hand,she saw the throwing knife in his hand,throwing
frank_2015,1460,She saw the throwing knife in his hand,she saw the throwing knife in his hand,knife
frank_2015,1461,She saw the throwing knife in his hand,she saw the throwing knife in his hand,in
frank_2015,1462,She saw the throwing knife in his hand,she saw the throwing knife in his hand,his
frank_2015,1463,She saw the throwing knife in his hand,she saw the throwing knife in his hand,hand
frank_2015,1464,"It is a narrow ship, much like our own","it is a narrow ship, much like our own",is
frank_2015,1465,"It is a narrow ship, much like our own","it is a narrow ship, much like our own",a
frank_2015,1466,"It is a narrow ship, much like our own","it is a narrow ship, much like our own",narrow
frank_2015,1467,"It is a narrow ship, much like our own","it is a narrow ship, much like our own",ship
frank_2015,1468,"It is a narrow ship, much like our own","it is a narrow ship, much like our own",much
frank_2015,1469,"It is a narrow ship, much like our own","it is a narrow ship, much like our own",like
frank_2015,1470,"It is a narrow ship, much like our own","it is a narrow ship, much like our own",our
frank_2015,1471,"It is a narrow ship, much like our own","it is a narrow ship, much like our own",own
frank_2015,1472,Lets get out and Ill buy you a drink,lets get out and ill buy you a drink,get
frank_2015,1473,Lets get out and Ill buy you a drink,lets get out and ill buy you a drink,out
frank_2015,1474,Lets get out and Ill buy you a drink,lets get out and ill buy you a drink,and
frank_2015,1475,Lets get out and Ill buy you a drink,lets get out and ill buy you a drink,I'll
frank_2015,1476,Lets get out and Ill buy you a drink,lets get out and ill buy you a drink,buy
frank_2015,1477,Lets get out and Ill buy you a drink,lets get out and ill buy you a drink,you
frank_2015,1478,Lets get out and Ill buy you a drink,lets get out and ill buy you a drink,a
frank_2015,1479,Lets get out and Ill buy you a drink,lets get out and ill buy you a drink,drink
frank_2015,1480,Weve been travelling almost three days,weve been travelling almost three days,been
frank_2015,1481,Weve been travelling almost three days,weve been travelling almost three days,travelling
frank_2015,1482,Weve been travelling almost three days,weve been travelling almost three days,almost
frank_2015,1483,Weve been travelling almost three days,weve been travelling almost three days,three
frank_2015,1484,Weve been travelling almost three days,weve been travelling almost three days,days
frank_2015,1485,Alan forgot to shave again this morning,alan forgot to shave again this morning,forgot
frank_2015,1486,Alan forgot to shave again this morning,alan forgot to shave again this morning,to
frank_2015,1487,Alan forgot to shave again this morning,alan forgot to shave again this morning,shave
frank_2015,1488,Alan forgot to shave again this morning,alan forgot to shave again this morning,again
frank_2015,1489,Alan forgot to shave again this morning,alan forgot to shave again this morning,this
frank_2015,1490,Alan forgot to shave again this morning,alan forgot to shave again this morning,morning
frank_2015,1491,Have a carriage sent for us immediately,have a carriage sent for us immediately,a
frank_2015,1492,Have a carriage sent for us immediately,have a carriage sent for us immediately,carriage
frank_2015,1493,Have a carriage sent for us immediately,have a carriage sent for us immediately,sent
frank_2015,1494,Have a carriage sent for us immediately,have a carriage sent for us immediately,for
frank_2015,1495,Have a carriage sent for us immediately,have a carriage sent for us immediately,us
frank_2015,1496,Have a carriage sent for us immediately,have a carriage sent for us immediately,immediately
frank_2015,1497,He probably doesnt want people to know,he probably doesnt want people to know,probably
frank_2015,1498,He probably doesnt want people to know,he probably doesnt want people to know,doesn't
frank_2015,1499,He probably doesnt want people to know,he probably doesnt want people to know,want
frank_2015,1500,He probably doesnt want people to know,he probably doesnt want people to know,people
frank_2015,1501,He probably doesnt want people to know,he probably doesnt want people to know,to
frank_2015,1502,He probably doesnt want people to know,he probably doesnt want people to know,know
frank_2015,1503,After lunch he was told he had visitors,after lunch he was told he had visitors,lunch
frank_2015,1504,After lunch he was told he had visitors,after lunch he was told he had visitors,he
frank_2015,1505,After lunch he was told he had visitors,after lunch he was told he had visitors,was
frank_2015,1506,After lunch he was told he had visitors,after lunch he was told he had visitors,told
frank_2015,1507,After lunch he was told he had visitors,after lunch he was told he had visitors,had
frank_2015,1508,After lunch he was told he had visitors,after lunch he was told he had visitors,visitors
frank_2015,1509,He staggered into the chair at his desk,he staggered into the chair at his desk,staggered
frank_2015,1510,He staggered into the chair at his desk,he staggered into the chair at his desk,into
frank_2015,1511,He staggered into the chair at his desk,he staggered into the chair at his desk,the
frank_2015,1512,He staggered into the chair at his desk,he staggered into the chair at his desk,chair
frank_2015,1513,He staggered into the chair at his desk,he staggered into the chair at his desk,at
frank_2015,1514,He staggered into the chair at his desk,he staggered into the chair at his desk,his
frank_2015,1515,He staggered into the chair at his desk,he staggered into the chair at his desk,desk
frank_2015,1516,Let us leave these poor people in peace,let us leave these poor people in peace,us
frank_2015,1517,Let us leave these poor people in peace,let us leave these poor people in peace,leave
frank_2015,1518,Let us leave these poor people in peace,let us leave these poor people in peace,these
frank_2015,1519,Let us leave these poor people in peace,let us leave these poor people in peace,poor
frank_2015,1520,Let us leave these poor people in peace,let us leave these poor people in peace,in
frank_2015,1521,Let us leave these poor people in peace,let us leave these poor people in peace,peace
frank_2015,1522,Let us leave these poor people in peace,let us leave these poor people in peace,people
frank_2015,1523,None of the city people dress like that,none of the city people dress like that,of
frank_2015,1524,None of the city people dress like that,none of the city people dress like that,the
frank_2015,1525,None of the city people dress like that,none of the city people dress like that,city
frank_2015,1526,None of the city people dress like that,none of the city people dress like that,people
frank_2015,1527,None of the city people dress like that,none of the city people dress like that,dress
frank_2015,1528,None of the city people dress like that,none of the city people dress like that,like
frank_2015,1529,None of the city people dress like that,none of the city people dress like that,that
frank_2015,1530,Shut your smart foul mouth and sit down,shut your smart foul mouth and sit down,your
frank_2015,1531,Shut your smart foul mouth and sit down,shut your smart foul mouth and sit down,smart
frank_2015,1532,Shut your smart foul mouth and sit down,shut your smart foul mouth and sit down,foul
frank_2015,1533,Shut your smart foul mouth and sit down,shut your smart foul mouth and sit down,mouth
frank_2015,1534,Shut your smart foul mouth and sit down,shut your smart foul mouth and sit down,and
frank_2015,1535,Shut your smart foul mouth and sit down,shut your smart foul mouth and sit down,sit
